terrain_x,terrain_y,terrain_z
330.0,1350.0,667.0
360.0,1350.0,653.0
390.0,1350.0,642.0
420.0,1350.0,627.0
450.0,1350.0,619.0
480.0,1350.0,602.0
510.0,1350.0,594.0
540.0,1350.0,592.0
570.0,1350.0,585.0
600.0,1350.0,575.0
630.0,1350.0,564.0
660.0,1350.0,555.0
690.0,1350.0,538.0
720.0,1350.0,517.0
750.0,1350.0,512.0
780.0,1350.0,502.0
810.0,1350.0,486.0
840.0,1350.0,469.0
870.0,1350.0,453.0
900.0,1350.0,433.0
930.0,1350.0,419.0
960.0,1350.0,406.0
990.0,1350.0,394.0
1020.0,1350.0,382.0
1050.0,1350.0,370.0
1080.0,1350.0,352.0
1110.0,1350.0,343.0
1140.0,1350.0,335.0
1170.0,1350.0,326.0
1200.0,1350.0,305.0
1230.0,1350.0,283.0
1260.0,1350.0,273.0
1290.0,1350.0,269.0
1320.0,1350.0,267.0
1350.0,1350.0,263.0
1380.0,1350.0,257.0
1410.0,1350.0,244.0
1440.0,1350.0,228.0
1470.0,1350.0,219.0
1500.0,1350.0,212.0
1530.0,1350.0,206.0
1560.0,1350.0,194.0
0.0,1320.0,711.0
30.0,1320.0,713.0
60.0,1320.0,718.0
90.0,1320.0,719.0
120.0,1320.0,722.0
150.0,1320.0,722.0
180.0,1320.0,719.0
210.0,1320.0,720.0
240.0,1320.0,721.0
270.0,1320.0,714.0
300.0,1320.0,694.0
330.0,1320.0,680.0
360.0,1320.0,664.0
390.0,1320.0,653.0
420.0,1320.0,647.0
450.0,1320.0,629.0
480.0,1320.0,611.0
510.0,1320.0,597.0
540.0,1320.0,595.0
570.0,1320.0,583.0
600.0,1320.0,565.0
630.0,1320.0,548.0
660.0,1320.0,545.0
690.0,1320.0,528.0
720.0,1320.0,512.0
750.0,1320.0,495.0
780.0,1320.0,479.0
810.0,1320.0,457.0
840.0,1320.0,443.0
870.0,1320.0,434.0
900.0,1320.0,421.0
930.0,1320.0,407.0
960.0,1320.0,390.0
990.0,1320.0,371.0
1020.0,1320.0,363.0
1050.0,1320.0,350.0
1080.0,1320.0,335.0
