terrain_x,terrain_y,terrain_z,wind_velocity,wind_angle
180.0,1350.0,707.0,3.16,28
210.0,1350.0,705.0,2.95,26
240.0,1350.0,711.0,2.77,24
270.0,1350.0,698.0,2.71,14
300.0,1350.0,679.0,2.9,10
330.0,1350.0,667.0,3.03,8
360.0,1350.0,653.0,3.18,5
390.0,1350.0,642.0,3.31,3
420.0,1350.0,627.0,3.44,2
450.0,1350.0,619.0,3.66,2
480.0,1350.0,602.0,4.0,0
510.0,1350.0,594.0,4.21,1
540.0,1350.0,592.0,4.53,360
570.0,1350.0,585.0,4.97,358
600.0,1350.0,575.0,5.29,358
630.0,1350.0,564.0,5.6,359
660.0,1350.0,555.0,5.67,359
690.0,1350.0,538.0,5.7,359
720.0,1350.0,517.0,5.62,0
750.0,1350.0,512.0,5.51,4
780.0,1350.0,502.0,5.46,6
810.0,1350.0,486.0,5.33,10
840.0,1350.0,469.0,5.02,14
870.0,1350.0,453.0,4.73,17
900.0,1350.0,433.0,4.54,19
930.0,1350.0,419.0,4.55,20
960.0,1350.0,406.0,4.62,20
990.0,1350.0,394.0,4.6,19
1020.0,1350.0,382.0,4.61,21
1050.0,1350.0,370.0,4.64,23
1080.0,1350.0,352.0,4.59,25
1110.0,1350.0,343.0,4.64,28
1140.0,1350.0,335.0,4.63,28
1170.0,1350.0,326.0,4.44,27
1200.0,1350.0,305.0,4.04,24
1230.0,1350.0,283.0,3.74,23
1260.0,1350.0,273.0,3.99,28
1290.0,1350.0,269.0,4.41,30
1320.0,1350.0,267.0,4.57,30
1350.0,1350.0,263.0,4.7,31
1380.0,1350.0,257.0,4.66,30
1410.0,1350.0,244.0,4.54,29
1440.0,1350.0,228.0,4.42,27
1470.0,1350.0,219.0,4.44,28
1500.0,1350.0,212.0,4.38,28
1530.0,1350.0,206.0,4.1,28
1560.0,1350.0,194.0,4.1,28
0.0,1320.0,711.0,5.07,52
30.0,1320.0,713.0,4.17,46
60.0,1320.0,718.0,3.82,43
90.0,1320.0,719.0,3.45,38
120.0,1320.0,722.0,3.24,32
150.0,1320.0,722.0,3.26,28
180.0,1320.0,719.0,3.47,22
210.0,1320.0,720.0,3.82,17
240.0,1320.0,721.0,3.94,14
270.0,1320.0,714.0,3.91,8
300.0,1320.0,694.0,3.94,4
330.0,1320.0,680.0,4.03,3
360.0,1320.0,664.0,4.23,1
390.0,1320.0,653.0,4.29,1
420.0,1320.0,647.0,4.27,360
450.0,1320.0,629.0,4.53,358
480.0,1320.0,611.0,4.92,357
510.0,1320.0,597.0,5.2,357
540.0,1320.0,595.0,5.46,358
570.0,1320.0,583.0,5.67,357
600.0,1320.0,565.0,5.78,358
630.0,1320.0,548.0,5.73,1
660.0,1320.0,545.0,5.47,5
690.0,1320.0,528.0,5.23,5
720.0,1320.0,512.0,4.66,3
750.0,1320.0,495.0,4.45,6
780.0,1320.0,479.0,4.29,10
810.0,1320.0,457.0,4.09,18
840.0,1320.0,443.0,4.26,24
870.0,1320.0,434.0,4.31,24
900.0,1320.0,421.0,4.09,22
930.0,1320.0,407.0,4.0,21
960.0,1320.0,390.0,4.04,21
990.0,1320.0,371.0,4.16,22
1020.0,1320.0,363.0,4.16,24
1050.0,1320.0,350.0,4.16,27
1080.0,1320.0,335.0,4.21,28
1110.0,1320.0,329.0,4.4,31
1140.0,1320.0,327.0,4.44,31
1170.0,1320.0,315.0,4.39,30
1200.0,1320.0,294.0,4.16,26
1230.0,1320.0,277.0,3.95,23
1260.0,1320.0,264.0,3.89,24
1290.0,1320.0,256.0,4.21,28
1320.0,1320.0,256.0,4.44,30
1350.0,1320.0,252.0,4.63,32
1380.0,1320.0,246.0,4.71,32
1410.0,1320.0,232.0,4.66,31
1440.0,1320.0,220.0,4.42,29
1470.0,1320.0,211.0,4.3,30
1500.0,1320.0,203.0,4.31,31
1530.0,1320.0,196.0,4.28,32
1560.0,1320.0,183.0,4.28,32
0.0,1290.0,728.0,5.07,52
30.0,1290.0,731.0,4.18,46
60.0,1290.0,732.0,3.9,41
90.0,1290.0,738.0,3.61,35
120.0,1290.0,744.0,3.35,28
150.0,1290.0,745.0,3.26,22
180.0,1290.0,737.0,3.53,11
210.0,1290.0,725.0,4.17,7
240.0,1290.0,723.0,4.5,8
270.0,1290.0,715.0,4.85,8
300.0,1290.0,700.0,4.93,5
330.0,1290.0,685.0,4.91,3
360.0,1290.0,666.0,5.08,2
390.0,1290.0,656.0,5.3,2
420.0,1290.0,645.0,5.4,1
450.0,1290.0,627.0,5.5,360
480.0,1290.0,611.0,5.53,357
510.0,1290.0,589.0,5.69,357
540.0,1290.0,575.0,5.7,360
570.0,1290.0,566.0,5.55,1
600.0,1290.0,537.0,5.34,2
630.0,1290.0,523.0,5.02,7
660.0,1290.0,517.0,4.97,11
690.0,1290.0,510.0,4.85,11
720.0,1290.0,489.0,4.49,9
750.0,1290.0,473.0,3.95,11
780.0,1290.0,452.0,3.7,16
810.0,1290.0,438.0,3.52,22
840.0,1290.0,427.0,3.67,26
870.0,1290.0,415.0,3.88,26
900.0,1290.0,404.0,4.0,24
930.0,1290.0,389.0,3.84,22
960.0,1290.0,360.0,3.71,22
990.0,1290.0,347.0,3.55,24
1020.0,1290.0,331.0,3.71,28
1050.0,1290.0,324.0,3.83,30
1080.0,1290.0,312.0,3.94,29
1110.0,1290.0,311.0,4.21,31
1140.0,1290.0,311.0,4.39,32
1170.0,1290.0,297.0,4.47,31
1200.0,1290.0,282.0,4.31,28
1230.0,1290.0,267.0,4.12,25
1260.0,1290.0,252.0,3.9,24
1290.0,1290.0,241.0,3.99,27
1320.0,1290.0,242.0,4.21,31
1350.0,1290.0,239.0,4.45,34
1380.0,1290.0,233.0,4.59,35
1410.0,1290.0,223.0,4.54,34
1440.0,1290.0,212.0,4.36,33
1470.0,1290.0,207.0,4.15,33
1500.0,1290.0,197.0,4.08,33
1530.0,1290.0,185.0,4.13,36
1560.0,1290.0,178.0,4.13,36
0.0,1260.0,745.0,5.05,53
30.0,1260.0,748.0,4.13,45
60.0,1260.0,750.0,3.84,39
90.0,1260.0,755.0,3.71,32
120.0,1260.0,760.0,3.65,23
150.0,1260.0,759.0,3.64,17
180.0,1260.0,749.0,3.79,6
210.0,1260.0,730.0,4.25,3
240.0,1260.0,718.0,4.57,5
270.0,1260.0,706.0,5.02,9
300.0,1260.0,701.0,5.19,7
330.0,1260.0,687.0,5.16,5
360.0,1260.0,671.0,5.24,2
390.0,1260.0,653.0,5.45,2
420.0,1260.0,634.0,5.56,3
450.0,1260.0,626.0,5.55,4
480.0,1260.0,610.0,5.42,360
510.0,1260.0,576.0,5.39,358
540.0,1260.0,558.0,5.05,2
570.0,1260.0,542.0,4.71,7
600.0,1260.0,521.0,4.26,8
630.0,1260.0,501.0,3.97,10
660.0,1260.0,498.0,4.05,15
690.0,1260.0,480.0,4.15,16
720.0,1260.0,464.0,3.9,15
750.0,1260.0,446.0,3.56,17
780.0,1260.0,428.0,3.41,20
810.0,1260.0,418.0,3.46,23
840.0,1260.0,407.0,3.57,25
870.0,1260.0,397.0,3.66,26
900.0,1260.0,383.0,3.77,26
930.0,1260.0,367.0,3.55,26
960.0,1260.0,349.0,3.18,25
990.0,1260.0,327.0,3.04,27
1020.0,1260.0,314.0,3.08,31
1050.0,1260.0,305.0,3.27,33
1080.0,1260.0,296.0,3.42,31
1110.0,1260.0,291.0,3.78,32
1140.0,1260.0,281.0,4.09,34
1170.0,1260.0,276.0,4.35,34
1200.0,1260.0,268.0,4.24,30
1230.0,1260.0,253.0,4.04,28
