terrain_x,terrain_y,terrain_z
347570.62051192555,2646739.5078953276,253.0
347600.62051192555,2646739.5078953276,235.0
347630.62051192555,2646739.5078953276,226.0
347660.62051192555,2646739.5078953276,218.0
347690.62051192555,2646739.5078953276,205.0
346130.62051192555,2646709.5078953276,651.0
346160.62051192555,2646709.5078953276,649.0
346190.62051192555,2646709.5078953276,651.0
346220.62051192555,2646709.5078953276,657.0
346250.62051192555,2646709.5078953276,662.0
346280.62051192555,2646709.5078953276,663.0
346310.62051192555,2646709.5078953276,662.0
346340.62051192555,2646709.5078953276,661.0
346370.62051192555,2646709.5078953276,651.0
346400.62051192555,2646709.5078953276,645.0
346430.62051192555,2646709.5078953276,638.0
346460.62051192555,2646709.5078953276,626.0
346490.62051192555,2646709.5078953276,612.0
346520.62051192555,2646709.5078953276,603.0
346550.62051192555,2646709.5078953276,598.0
346580.62051192555,2646709.5078953276,590.0
346610.62051192555,2646709.5078953276,574.0
346640.62051192555,2646709.5078953276,567.0
346670.62051192555,2646709.5078953276,556.0
346700.62051192555,2646709.5078953276,551.0
346730.62051192555,2646709.5078953276,548.0
346760.62051192555,2646709.5078953276,545.0
346790.62051192555,2646709.5078953276,543.0
346820.62051192555,2646709.5078953276,541.0
346850.62051192555,2646709.5078953276,536.0
346880.62051192555,2646709.5078953276,535.0
346910.62051192555,2646709.5078953276,532.0
346940.62051192555,2646709.5078953276,528.0
346970.62051192555,2646709.5078953276,522.0
347000.62051192555,2646709.5078953276,504.0
347030.62051192555,2646709.5078953276,484.0
347060.62051192555,2646709.5078953276,464.0
347090.62051192555,2646709.5078953276,449.0
347120.62051192555,2646709.5078953276,436.0
347150.62051192555,2646709.5078953276,427.0
347180.62051192555,2646709.5078953276,414.0
347210.62051192555,2646709.5078953276,409.0
347240.62051192555,2646709.5078953276,397.0
347270.62051192555,2646709.5078953276,373.0
347300.62051192555,2646709.5078953276,360.0
347330.62051192555,2646709.5078953276,342.0
347360.62051192555,2646709.5078953276,332.0
347390.62051192555,2646709.5078953276,321.0
347420.62051192555,2646709.5078953276,306.0
347450.62051192555,2646709.5078953276,296.0
347480.62051192555,2646709.5078953276,286.0
347510.62051192555,2646709.5078953276,273.0
347540.62051192555,2646709.5078953276,262.0
347570.62051192555,2646709.5078953276,246.0
347600.62051192555,2646709.5078953276,231.0
347630.62051192555,2646709.5078953276,220.0
347660.62051192555,2646709.5078953276,210.0
347690.62051192555,2646709.5078953276,197.0
346130.62051192555,2646679.5078953276,663.0
346160.62051192555,2646679.5078953276,666.0
346190.62051192555,2646679.5078953276,671.0
346220.62051192555,2646679.5078953276,678.0
346250.62051192555,2646679.5078953276,679.0
346280.62051192555,2646679.5078953276,677.0
346310.62051192555,2646679.5078953276,676.0
346340.62051192555,2646679.5078953276,671.0
346370.62051192555,2646679.5078953276,662.0
346400.62051192555,2646679.5078953276,653.0
346430.62051192555,2646679.5078953276,650.0
346460.62051192555,2646679.5078953276,636.0
346490.62051192555,2646679.5078953276,623.0
346520.62051192555,2646679.5078953276,615.0
346550.62051192555,2646679.5078953276,607.0
346580.62051192555,2646679.5078953276,597.0
346610.62051192555,2646679.5078953276,581.0
346640.62051192555,2646679.5078953276,573.0
346670.62051192555,2646679.5078953276,569.0
346700.62051192555,2646679.5078953276,565.0
346730.62051192555,2646679.5078953276,563.0
346760.62051192555,2646679.5078953276,560.0
346790.62051192555,2646679.5078953276,557.0
346820.62051192555,2646679.5078953276,548.0
346850.62051192555,2646679.5078953276,545.0
346880.62051192555,2646679.5078953276,542.0
346910.62051192555,2646679.5078953276,534.0
346940.62051192555,2646679.5078953276,528.0
346970.62051192555,2646679.5078953276,515.0
347000.62051192555,2646679.5078953276,495.0
347030.62051192555,2646679.5078953276,471.0
347060.62051192555,2646679.5078953276,458.0
347090.62051192555,2646679.5078953276,438.0
347120.62051192555,2646679.5078953276,426.0
347150.62051192555,2646679.5078953276,416.0
347180.62051192555,2646679.5078953276,406.0
347210.62051192555,2646679.5078953276,394.0
347240.62051192555,2646679.5078953276,379.0
347270.62051192555,2646679.5078953276,362.0
347300.62051192555,2646679.5078953276,348.0
347330.62051192555,2646679.5078953276,328.0
347360.62051192555,2646679.5078953276,309.0
